,nx,ny,rsx,rsy,lsx,lsy,rhx,rhy,lhx,lhy,rkx,rky,lkx,lky,label,original_index
8661,27.82608700000003,-10.43478261,27.82608700000003,0.0,0.0,-15.65217392000001,-6.95652179999999,10.434782599999991,-6.956521700000025,10.434782599999977,0.0,-5.2173912999999885,0.0,5.217391299999946,0.0,21910.0
8662,27.82608700000003,-10.43478261,20.869565300000005,0.0,0.0,-20.869565230000006,-6.95652179999999,10.434782599999977,-6.956521700000025,15.652173899999966,0.0,-5.2173912999999885,0.0,5.217391299999946,0.0,21912.0
8663,27.82608700000003,-10.43478261,27.82608700000003,0.0,0.0,-20.869565230000006,-6.95652179999999,0.0,-6.956521700000025,5.2173912999999885,0.0,-5.2173912999999885,0.0,5.217391299999946,0.0,21914.0
8664,27.82608700000003,-10.43478261,27.82608700000003,0.0,0.0,-10.434782619999993,6.956521700000025,5.2173912999999885,0.0,5.2173912999999885,6.956521699999968,-5.2173912999999885,0.0,0.0,0.0,21916.0
8665,27.82608700000003,-10.43478261,27.82608700000003,0.0,0.0,-10.434782619999993,6.956521700000025,0.0,0.0,0.0,6.956521699999968,0.0,0.0,0.0,0.0,21918.0
8666,34.7826087,-10.43478261,27.82608700000003,0.0,0.0,-10.434782619999993,6.956521700000025,0.0,6.956521700000025,0.0,6.956521699999968,0.0,0.0,-5.217391299999946,0.0,21920.0
8667,27.826086900000007,-10.43478261,27.82608700000003,-5.2173913099999965,0.0,-10.434782619999993,0.0,0.0,6.956521700000025,0.0,0.0,0.0,0.0,-5.217391299999946,0.0,21922.0
8668,27.826086900000007,-10.43478261,27.82608700000003,-5.2173913099999965,0.0,-15.65217392999999,6.956521700000025,0.0,6.956521700000025,0.0,6.956521699999968,0.0,0.0,-5.217391299999946,0.0,21924.0
8669,27.826086900000007,-5.2173913099999965,27.82608700000003,-5.2173913099999965,0.0,-5.217391300000003,6.956521700000025,0.0,6.956521700000025,0.0,0.0,0.0,0.0,-5.217391299999946,0.0,21926.0
8670,27.826086900000007,-5.2173913099999965,20.86956520000004,-5.2173913099999965,0.0,-5.217391300000003,6.956521700000025,0.0,6.956521700000025,0.0,0.0,0.0,0.0,-5.217391299999946,0.0,21928.0
8671,27.826086900000007,-5.2173913099999965,20.86956520000004,-10.43478261,0.0,-10.43478261,6.956521700000025,0.0,6.956521700000025,0.0,0.0,0.0,0.0,-5.217391299999946,0.0,21930.0
8672,20.869565199999982,-5.2173913099999965,20.86956520000004,-10.43478261,0.0,-10.43478261,0.0,0.0,6.956521700000025,0.0,0.0,0.0,0.0,-5.217391299999946,0.0,21932.0
