,0x,0y,1x,1y,2x,2y,3x,3y,4x,4y,5x,5y,6x,6y,7x,7y,8x,8y,9x,9y,10x,10y,11x,11y,12x,12y,13x,13y,14x,14y,15x,15y,16x,16y,17x,17y
0,194.7826086956522,109.56521739130434,194.7826086956522,120.0,180.8695652173913,120.0,173.91304347826087,125.21739130434783,166.95652173913044,130.43478260869566,201.7391304347826,120.0,215.65217391304347,130.43478260869566,215.65217391304347,135.65217391304347,187.82608695652175,146.08695652173913,187.82608695652175,172.17391304347825,,,201.7391304347826,146.08695652173913,201.7391304347826,172.17391304347825,,,194.7826086956522,104.34782608695652,194.7826086956522,104.34782608695652,187.82608695652175,109.56521739130434,201.7391304347826,109.56521739130434
1,194.7826086956522,109.56521739130434,201.7391304347826,130.43478260869566,166.95652173913044,135.65217391304347,,,,,250.43478260869566,120.0,,,,,,,,,,,,,,,,,187.82608695652175,104.34782608695652,201.7391304347826,104.34782608695652,173.91304347826087,109.56521739130434,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,194.7826086956522,109.56521739130434,194.7826086956522,120.0,187.82608695652175,114.78260869565217,173.91304347826087,120.0,166.95652173913044,130.43478260869566,201.7391304347826,120.0,208.69565217391303,130.43478260869566,215.65217391304347,135.65217391304347,187.82608695652175,135.65217391304347,208.69565217391303,151.30434782608697,215.65217391304347,156.52173913043478,201.7391304347826,135.65217391304347,215.65217391304347,146.08695652173913,222.6086956521739,156.52173913043478,194.7826086956522,109.56521739130434,194.7826086956522,109.56521739130434,187.82608695652175,109.56521739130434,201.7391304347826,109.56521739130434
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.82608695652175,104.34782608695652,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,201.7391304347826,125.21739130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
