,ratio,LAngle,RAngle
0,3.1111111111111103,83.8844964337146,83.8844964337146
1,3.1111111111111156,-69.44395478041652,-82.87498365109822
2,2.000000000000004,-69.44395478041656,-90.0
3,2.6666666666666674,-73.30075576600639,-90.0
4,2.3333333333333353,-73.30075576600639,-82.87498365109819
5,4.666666666666671,82.8749836510982,82.8749836510982
6,2.3333333333333304,-82.87498365109819,-104.03624346792644
7,4.000000000000004,75.96375653207355,75.96375653207355
8,5.999999999999997,-84.6441749571448,-84.6441749571448
9,3.1111111111111103,90.0,90.0
10,3.555555555555561,90.0,96.1155035662854
11,2.000000000000001,98.53076560994812,98.53076560994812
12,1.8666666666666656,81.46923439005188,65.7722546820458
13,2.3333333333333335,75.96375653207355,60.642246457208714
14,2.6666666666666647,98.53076560994813,98.53076560994813
15,1.8666666666666656,75.96375653207355,53.130102354155945
16,1.8666666666666656,69.44395478041653,53.130102354155945
17,1.8666666666666656,75.96375653207355,53.130102354155945
18,1.8666666666666656,69.44395478041653,59.03624346792646
19,1.8666666666666656,69.44395478041653,53.130102354155945
20,1.8666666666666656,69.44395478041653,53.130102354155945
21,3.3333333333333366,81.46923439005188,81.46923439005188
22,2.3333333333333304,75.96375653207355,53.130102354155945
23,2.3333333333333304,69.44395478041653,53.130102354155945
24,2.0,81.46923439005188,81.46923439005188
25,2.0,82.87498365109822,73.30075576600638
26,1.599999999999999,81.46923439005188,60.6422464572087
27,1.8666666666666656,83.88449643371462,65.7722546820458
28,2.399999999999999,84.64417495714483,69.4439547804165
29,2.1333333333333324,83.88449643371462,69.4439547804165
30,3.9999999999999947,84.64417495714483,69.4439547804165
31,3.5555555555555505,90.0,69.4439547804165
32,2.1333333333333324,84.64417495714483,69.4439547804165
33,2.1333333333333324,83.88449643371462,65.7722546820458
34,2.1333333333333324,84.64417495714483,69.4439547804165
35,2.1333333333333324,77.90524292298791,59.03624346792646
36,2.1333333333333324,77.90524292298791,59.03624346792646
37,2.1333333333333324,77.90524292298791,59.03624346792646
38,2.000000000000001,90.0,90.0
39,2.1333333333333324,77.90524292298791,59.03624346792646
40,2.000000000000001,82.8749836510982,65.77225468204583
41,2.6666666666666705,90.0,90.0
42,2.6666666666666705,90.0,90.0
43,3.1111111111111103,83.8844964337146,90.0
44,1.7777777777777777,-95.35582504285517,-118.17859010995916
45,2.4000000000000004,-95.35582504285517,-113.19859051364817
46,3.000000000000001,-105.70863782901573,-105.70863782901573
47,2.000000000000001,98.53076560994812,98.53076560994812
48,2.3333333333333335,90.0,104.03624346792647
49,2.6666666666666656,90.0,90.0
50,1.4999999999999984,-105.70863782901576,-105.70863782901576
51,2.3333333333333335,104.03624346792647,104.03624346792647
52,1.3333333333333324,-110.55604521958347,-110.55604521958347
53,1.3333333333333324,-110.55604521958347,-110.55604521958347
54,2.6666666666666634,-106.69924423399362,-106.69924423399362
55,2.3333333333333366,-107.81888891452276,-107.81888891452276
56,1.333333333333332,-110.55604521958345,-110.55604521958345
57,1.333333333333332,-110.55604521958345,-110.55604521958345
58,1.5999999999999979,-126.86989764584402,-126.86989764584402
59,3.1111111111111076,-75.96375653207353,-75.96375653207353
60,2.333333333333329,-82.87498365109819,-82.87498365109819
61,4.8888888888888795,-75.96375653207349,-90.0
62,3.6666666666666634,-69.44395478041652,-85.71084667118097
63,3.6666666666666634,-69.44395478041652,-85.71084667118097
64,3.333333333333334,23.962488974578193,23.962488974578193
65,3.9999999999999947,-80.53767779197435,-80.53767779197435
66,3.9999999999999947,-80.53767779197435,-80.53767779197435
67,4.444444444444435,-79.38034472384483,-79.38034472384483
68,3.9999999999999947,-79.38034472384483,-79.38034472384483
69,4.444444444444435,-84.6441749571448,-84.6441749571448
70,3.333333333333329,-75.96375653207353,-84.6441749571448
71,6.66666666666664,-84.6441749571448,-84.6441749571448
72,3.9999999999999947,-77.90524292298787,-77.90524292298787
73,3.9999999999999956,-79.38034472384487,-79.38034472384487
74,2.6666666666666643,-77.9052429229879,-77.9052429229879
75,2.000000000000001,90.0,90.0
76,1.6666666666666665,-90.0,-90.0
77,2.0,-98.53076560994812,-98.53076560994812
78,3.1111111111111103,77.90524292298791,90.0
79,3.6666666666666656,-94.76364169072616,-99.46232220802561
80,1.5999999999999979,-119.35775354279127,-119.35775354279127
81,4.000000000000004,90.0,90.0
